"Excel CSV """"date format""""",,,,,,,,,,,,,,,
"Reference date","Open market operations excl. MonPol portfolios","Marginal lending facility","Deposit facility","Net liquidity effect from Autonomous Factors and MonPol portfolios","Current accounts","Reserve requirements","Excess liquidity","Covered bonds purchase programme","Securities markets programme","Covered bonds purchase programme 2","Covered bonds purchase programme 3","ABS purchase programme","Public sector purchase programme","Corporate sector purchase programme","Pandemic emergency purchase programme"
02/03/20,617239,0,242401,-1299160,1673998,135652,1780747,,,,,,,,
03/03/20,617239,0,252483,-1304970,1669726,135652,1786557,,,,,,,,
04/03/20,616912,6,250884,-1294997,1661030,135652,1776257,,,,,,,,
05/03/20,616912,8,251478,-1292349,1657791,135652,1773609,,,,,,,,
06/03/20,616912,14,248326,-1293099,1661699,135652,1774360,1088,41027,2911,270892,28599,2133998,196209,
09/03/20,616912,16,242125,-1289621,1664424,135652,1770881,,,,,,,,
10/03/20,616912,8,252607,-1289564,1653877,135652,1770825,,,,,,,,
11/03/20,617678,13,288714,-1286878,1615855,135652,1768905,,,,,,,,
12/03/20,617678,7,285687,-1281820,1613818,135652,1763846,,,,,,,,
13/03/20,617678,8,284106,-1265964,1599544,135652,1747991,1088,41027,2911,271840,29501,2135559,198086,
16/03/20,617678,2,259483,-1222590,1580787,135652,1704617,,,,,,,,
17/03/20,617678,0,291447,-1217728,1543960,135652,1699755,,,,,,,,
18/03/20,726116,49,208534,-1193357,1710988,135703,1783770,,,,,,,,
19/03/20,726116,18,208426,-1185831,1703539,135703,1776243,,,,,,,,
20/03/20,726116,4,200425,-1187233,1712928,135703,1777645,1088,41027,2911,273141,30473,2148588,200165,
23/03/20,726116,1,201509,-1180669,1705277,135703,1771081,,,,,,,,
24/03/20,726116,2,200750,-1178070,1703437,135703,1768482,,,,,,,,
25/03/20,827730,0,202109,-1168487,1794108,135703,1860513,,,,,,,,
26/03/20,826072,10,208898,-1179492,1796676,135703,1869861,,,,,,,,
27/03/20,826072,3,212454,-1195402,1809023,135703,1885771,1088,41027,2911,274841,31130,2168571,201450,0
30/03/20,826072,19,220388,-1216433,1822136,135703,1906802,,,,,,,,
31/03/20,826072,0,238744,-1220039,1807367,135703,1910407,,,,,,,,
01/04/20,869175,0,222182,-1249369,1896362,135703,1982840,,,,,,,,
02/04/20,869175,0,227001,-1241305,1883478,135703,1974776,,,,,,,,
03/04/20,869175,0,250850,-1247232,1865557,135703,1980703,842,41117,2911,275233,31691,2169641,203405,30153
06/04/20,869175,0,266257,-1241976,1844893,135703,1975447,,,,,,,,
07/04/20,869175,7,261782,-1240242,1847641,135703,1973713,,,,,,,,
08/04/20,888553,12,266406,-1249306,1871465,135703,2002156,,,,,,,,
09/04/20,888553,15,262359,-1240960,1867169,135703,1993810,,,,,,,,
